quests_title,quests_description,quests_objective
Stage 2 – Sand Will Fall,The Sand People have repeatedly interfered with the Empire’s plans and must be brought down. Destroy their war totems in Jundland to strike a humiliating blow..,Updating…
Stage 2 – The Fall of the Sand People,The Sand People appear to be preparing for a major attack on nearby settlements. Destroy their war totems in Jundland to discourage the raids from proceeding.,Updating….
Stage 3 – Geonosian War,The Geonosian forces attacking the people of Tatooine must be stopped. Defeat the Geonosian Drone Commanders in Jundland.,Defeat Geonosian Drone Commanders
Stage 3 – The Fall of the Sand People,The Sand People appear to be preparing for a major attack on nearby settlements. Defeat their chieftains in Jundland to put a stop to their raids.,Updating….
Stirring Up the Natives,"Geris Paelid wants you to test a new device that can enrage Sand People.
Use the device at the proper coordinates in the Southern Jundland Wastes, then fend off the enraged Sand People who attack.",Activate the Portable Prototype
Storm the Archives,"On your way to House Alde, you were attacked by Alde library guards. Defend yourself.",Defeat Alde Library Guards
Strike Down the Sand People,You’ve been forced into conflict with the Sand People during your quest for Master Eriz Vossan. Defeat them and prevent them from harming others.,Dispatch Sand People Forces
Subterranean Slaughter,"Cedarik Killesa has betrayed Lord Thul and sided with House Organa. His forces are massing for an assault in the siege tunnel beneath the Thul. Palace. Crush these foes, and demonstrate the Empire’s dominance of Alderaan.
Defeat Killesa forces in the siege tunnel of Thul Palace.",Defeat Killesa Forces
Tatooine: Bonus Series,"Moff Yurrion, the Imperial governor in charge of Tatooine and the surrounding sector, has asked you to help secure the planet as a bastion of Imperial power in the Outer Rim. Without a large military presence, you’ll need allies–namely, the local Mandalorian clan.
Prove yourself to the Mandalorians by traveling to their training grounds in the Southern Jundland Wastes, near the Rennar settlement. There, collect the remains of their dead as evidence of their failure and your capacity for survival.",Recover Mandalorian Remains
Tatooine: Bonus Series,"Galen Besk, an elderly community leader from Anchorhead, has urged you to remain on Tatooine and help the planet build strength and unite against the Empire.
According to Galen, Imperial saboteurs are planning to attack the settlement of Espelar, south of Anchorhead. Travel to the abandoned farmstead nearby and defeat the saboteurs there.",Defeat Imperial Saboteurs
Test of the Clan,"Roggar Den, a Mandalorian leader at Outpost Rennar, has challenged you to participate in a trial of respect and glory. The Sand People distill a lethal poison and only their holiest shrines have the antidote.
To pass the trial, you had to voluntarily drink the poison. Before you succumb to the toxin or the Sand People themselves, go to their camp in the Southern Jundland Wastes and retrieve the antidote held within the shrine.",Use Poison Injector
The Alderaan Target,You have received a new bounty on Alderaan. Use the galaxy map on your ship and travel to Alderaan.,Travel to Alderaan
The Assassin’s Fortress,"Tatooine is the home of the “ghost cell,” a training program for terrorists specializing in stealth, infiltration and assassination. You must locate and destroy the ghost cell’s base of operations with the help of Mia Hawkins, a former cell member.
You’ve learned that the ghost cell retrieves its supplies from a drop point in the Dune Sea.",Locate the Drop Point
The Best Defense,"Lord Jorad Thul has asked you to intercept Organa forces attacking his border outposts. Show House Organa the futility of attacking an Imperial ally.
Take out Organa forces attacking Borderpost Augis, Benthus, and Parthos in Kaamos Territory.",Defeat Organa Forces
The Death Mark,"General Var Suthra has a mission for you on Alderaan. He’ll provide you with the necessary details when you arrive.
Travel to Alderaan.",Defeat Guard Captain Yils
The Fall of the Sand People,You defeated the Sand People preparing for a major attack on nearby settlements. Bring their tribal leadership banner back to Outpost Largona as proof that the locals are safe.,Bring the Tribal Leadership Banner to Outpost Largona
The Geonosian Offensive,"Renishi wants you to help the Jawas take back their home from the Geonosians.
Collect Geonosian explosives from the overrun militia base in northern Jundland.",Steal Explosives
The Killik Problem,"The Killiks, an sentinet insect-like race native to Alderaan, have been infesting House Thul. Rylan Stallos has asked you to poison Killik hives in order to spur them into attacking the other houses. Guerilla forces believed to be sponsored by House Organa have developed a suitable poison that you could use.
Retrieve the Killik poison and the poison disperser from the guerilla operatives and lookouts in the Kaamos Territory.",Steal Killik Poison
The Lightspring,"Diago Hixan has a special sensor computer that can help you find Nok Drayen’s treasure.
Tookreek told you where to find the reclusive crime lord; it’s time to go see if he’ll make a deal. Head to the Lightspring in the Jundland Wastes and speak with Diago Hixan.",Retrieve the Sensor Computer
The Secrets of the Jedi,"You are on the trail of the lost artifacts of Tulak Hord, which are believed to be key to a secret ritual that will grant you great power. Darth Zash has traced one of these artifacts to Alderaan.
You’ve arrived on Alderaan. Use your ship’s holoterminal to contact Darth Zash for more information.",Travel to Alderaan
The Ultimate Warriors,"You are pursuing Master Eriz Vossan on Tatooine, who may be suffering from the plague. Master Vossan claimed to be searching for a species of ultimate warriors. After retracing Master Vossan’s steps, it seems he believes the Sand People are the species he is looking for.
Before the attacks, the residents of Malcolm’s Dunes sent Master Vossan to deal with the Sand People camp. Go to the camp and look for Master Vossan.",Use Your Ship’s Holoterminal
The Water Pirates,"A moisture farmer named Dester wants you to recover the water that was stolen from him by pirates.
He has given you some containers and asked you to reclaim the water from the Twin Suns pirates in Jundland.",Collect the Stolen Water
The Wealth of Exiles,"According to Risha, you have business waiting on Alderaan that will bring you one step closer to finding Nok Drayen’s lost fortune.
Plot a course to Alderaan on your ship’s galaxy map; she’ll tell you more when you arrive.",Travel to Alderaan
Thunderstruck,"While storming the Togorothe Smuggling Operation, slaughter the Exchange anti-aircraft gunners for their insolence.",Defeat Exchange Anti-aircraft Gunners
Trade Disruption,"While obtaining power cores, take out any Jawas that give you trouble.",Eliminate Jawa Forces
Trail of Ruin,"Anchorhead militiaman Dak Williks wants you to help slow attacks on the local settlements by entering the camps of the Sand People and cutting down their numbers.
Eliminate the Sand People at the camps in the Southern Jundland Wastes.",Defeat Sand People Forces
Traitor,"You are helping Alderaan’s Lord Jorad Thul gain control of his lands. After helping to stop a guerilla insurgency, you discovered that Thul’s vassal, Lord Cedarik Killesa, is behind the insurgency. To make matters worse, Lord Killesa used the uprising to distract House Thul while an attack is launched on their castle from a secret access tunnel.
You have been asked to stop this threat by blowing up the tunnel. Retrieve the thermite explosives from the storeroom in Thul Palace.",Return to Lord Jorad Thul
Trespassing,"Lieutenant Berrig at the Ridgeside Sentry Post wants a group of encroaching Republic archaeologists destroyed before they can plunder any discoveries in the desert.
Defeat Republic archaeologists in the Southern Jundland Wastes.",Defeat Republic Archaeologists
Tulak Hord’s Legacy,"Khem Val has been receiving transmissions from a shrouded figure that speaks his own language. Khem Val is sure that it is his fellow shadow assassin Veshikk Urk who was bound to Tulak Hord’s apprentice Ortan Cela. Khem Val has traced the source of the transmissions to a location on Tatooine.
Go to Tatooine to find the source of the transmission.",Go to Tatooine
